CORR_ANS,item_TGT,item_OTH,item_X,tripletid,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
B,ewan_33,ewan_2,amelia_vowels_33,stimulus11_B,ewan.wav,97.48359,98.1925,HOODAH,ewan,V,A,ʊ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
A,amelia_vowels_37,amelia_vowels_6,ewan_37,stimulus12_A,amelia_vowels.wav,97.03204,97.7525,HOODI,amelia,V,I,ʊ,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ
A,amelia_vowels_2,amelia_vowels_25,ewan_2,stimulus13_A,amelia_vowels.wav,4.61383,5.3325,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,ewan_6,ewan_29,amelia_vowels_6,stimulus14_B,ewan.wav,17.36061,18.1025,HADI,ewan,V,I,ɑ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ
B,amelia_vowels_29,amelia_vowels_6,ewan_29,stimulus15_B,amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
A,ewan_25,ewan_2,amelia_vowels_25,stimulus16_A,ewan.wav,73.0025,73.8125,HUHDAH,ewan,V,A,ʌ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
A,ewan_6,ewan_45,amelia_vowels_6,stimulus17_A,ewan.wav,17.36061,18.1025,HADI,ewan,V,I,ɑ,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ
B,amelia_vowels_2,amelia_vowels_41,ewan_2,stimulus18_B,amelia_vowels.wav,4.61383,5.3325,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
B,ewan_41,ewan_2,amelia_vowels_41,stimulus19_B,ewan.wav,121.1525,121.8625,WHODAH,ewan,V,A,u,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u
A,amelia_vowels_45,amelia_vowels_6,ewan_45,stimulus20_A,amelia_vowels.wav,117.13683,117.88562,WHODI,amelia,V,I,u,amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ,ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u
