"File1"	"Silence1"	"File2"	"Silence2"	"File3"	"CORR_ANS"	"filename"
"68"	"ewan_EEPEE1"	"500ms_silence.wav"	"ewan_EEPEE1"	"500ms_silence.wav"	"ewan_EEPEE1"	"A"	"stimulus68"
"69"	"ewan_AHF3AH"	"500ms_silence.wav"	"ewan_AHSHAH4"	"500ms_silence.wav"	"ewan_AHSHAH4"	"B"	"stimulus69"
"70"	"amelia_EESHEE1"	"500ms_silence.wav"	"amelia_EEF3EE"	"500ms_silence.wav"	"amelia_EEF3EE"	"B"	"stimulus70"
"71"	"amelia_AHF3AH"	"500ms_silence.wav"	"amelia_AHSHAH4"	"500ms_silence.wav"	"amelia_AHSHAH4"	"B"	"stimulus71"
"72"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"A"	"stimulus72"
"73"	"ewan_AHF3AH"	"500ms_silence.wav"	"ewan_AHSSAH4"	"500ms_silence.wav"	"ewan_AHSSAH4"	"B"	"stimulus73"
"74"	"amelia_AHSSAH4"	"500ms_silence.wav"	"amelia_AHF3AH"	"500ms_silence.wav"	"amelia_AHF3AH"	"B"	"stimulus74"
"75"	"ewan_EEF3EE"	"500ms_silence.wav"	"ewan_EESSEE1"	"500ms_silence.wav"	"ewan_EESSEE1"	"B"	"stimulus75"
"76"	"amelia_EESSEE1"	"500ms_silence.wav"	"amelia_EESSEE1"	"500ms_silence.wav"	"amelia_EESSEE1"	"A"	"stimulus76"
"77"	"ewan_EEF3EE"	"500ms_silence.wav"	"ewan_EETHEE1"	"500ms_silence.wav"	"ewan_EETHEE1"	"B"	"stimulus77"
"78"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHF3AH"	"500ms_silence.wav"	"ewan_AHF3AH"	"B"	"stimulus78"
"79"	"amelia_EEF3EE"	"500ms_silence.wav"	"amelia_EETHEE1"	"500ms_silence.wav"	"amelia_EETHEE1"	"B"	"stimulus79"
"80"	"amelia_AHTHAH4"	"500ms_silence.wav"	"amelia_AHTHAH4"	"500ms_silence.wav"	"amelia_AHTHAH4"	"A"	"stimulus80"
"81"	"amelia_EEF3EE"	"500ms_silence.wav"	"amelia_EETEE1"	"500ms_silence.wav"	"amelia_EETEE1"	"B"	"stimulus81"
"82"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHF3AH"	"500ms_silence.wav"	"ewan_AHF3AH"	"B"	"stimulus82"
"83"	"ewan_EEF3EE"	"500ms_silence.wav"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EETEE1"	"B"	"stimulus83"
"84"	"amelia_AHTAH4"	"500ms_silence.wav"	"amelia_AHTAH4"	"500ms_silence.wav"	"amelia_AHTAH4"	"A"	"stimulus84"
"85"	"amelia_AHK3AH"	"500ms_silence.wav"	"amelia_AHPAH4"	"500ms_silence.wav"	"amelia_AHPAH4"	"B"	"stimulus85"
"86"	"ewan_EEPEE1"	"500ms_silence.wav"	"ewan_EEK3EE"	"500ms_silence.wav"	"ewan_EEK3EE"	"B"	"stimulus86"
"87"	"ewan_AHK3AH"	"500ms_silence.wav"	"ewan_AHPAH4"	"500ms_silence.wav"	"ewan_AHPAH4"	"B"	"stimulus87"
"88"	"amelia_EEPEE1"	"500ms_silence.wav"	"amelia_EEPEE1"	"500ms_silence.wav"	"amelia_EEPEE1"	"A"	"stimulus88"
"89"	"amelia_AHK3AH"	"500ms_silence.wav"	"amelia_AHSHAH4"	"500ms_silence.wav"	"amelia_AHSHAH4"	"B"	"stimulus89"
"90"	"amelia_AHSHAH4"	"500ms_silence.wav"	"amelia_AHK3AH"	"500ms_silence.wav"	"amelia_AHK3AH"	"B"	"stimulus90"
"91"	"ewan_EEK3EE"	"500ms_silence.wav"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"B"	"stimulus91"
"92"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"A"	"stimulus92"
"93"	"ewan_EEK3EE"	"500ms_silence.wav"	"ewan_EESSEE1"	"500ms_silence.wav"	"ewan_EESSEE1"	"B"	"stimulus93"
"94"	"ewan_AHSSAH4"	"500ms_silence.wav"	"ewan_AHK3AH"	"500ms_silence.wav"	"ewan_AHK3AH"	"B"	"stimulus94"
"95"	"amelia_AHK3AH"	"500ms_silence.wav"	"amelia_AHSSAH4"	"500ms_silence.wav"	"amelia_AHSSAH4"	"B"	"stimulus95"
"96"	"amelia_EESSEE1"	"500ms_silence.wav"	"amelia_EESSEE1"	"500ms_silence.wav"	"amelia_EESSEE1"	"A"	"stimulus96"
"97"	"amelia_EEK3EE"	"500ms_silence.wav"	"amelia_EETHEE1"	"500ms_silence.wav"	"amelia_EETHEE1"	"B"	"stimulus97"
"98"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHK3AH"	"500ms_silence.wav"	"ewan_AHK3AH"	"B"	"stimulus98"
"99"	"amelia_EEK3EE"	"500ms_silence.wav"	"amelia_EETHEE1"	"500ms_silence.wav"	"amelia_EETHEE1"	"B"	"stimulus99"
"100"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHTHAH4"	"A"	"stimulus100"
"101"	"amelia_AHK3AH"	"500ms_silence.wav"	"amelia_AHTAH4"	"500ms_silence.wav"	"amelia_AHTAH4"	"B"	"stimulus101"
"102"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EEK3EE"	"500ms_silence.wav"	"ewan_EEK3EE"	"B"	"stimulus102"
"103"	"amelia_AHK3AH"	"500ms_silence.wav"	"amelia_AHTAH4"	"500ms_silence.wav"	"amelia_AHTAH4"	"B"	"stimulus103"
