File1;Silence1;File2;Silence2;File3;CORR_ANS;triplet_id;speak_first;File_A;File_B;File_X;rep_number
Amelia_APAH2.wav;500ms_silence.wav;Amelia_ASSAH2.wav;500ms_silence.wav;Ewan_ASSAH2.wav;B;106;Amel;P;SS;SS;2
Ewan_EEPEE1.wav;500ms_silence.wav;Ewan_EESHEE1.wav;500ms_silence.wav;Amelia_EESHEE1.wav;B;107;Ewan;P;SH;SH;1
Amelia_EEPEE.wav;500ms_silence.wav;Amelia_EETHEE.wav;500ms_silence.wav;Ewan_EETHEE.wav;B;108;Amel;P;TH;TH;
Amelia_ATAH3.wav;500ms_silence.wav;Amelia_APAH3.wav;500ms_silence.wav;Ewan_APAH3.wav;B;109;Amel;T;P;P;3
Amelia_ATAH.wav;500ms_silence.wav;Amelia_AKAH.wav;500ms_silence.wav;Ewan_AKAH.wav;B;110;Amel;T;K;K;
Ewan_EETEE.wav;500ms_silence.wav;Ewan_EEFEE.wav;500ms_silence.wav;Amelia_EEFEE.wav;B;111;Ewan;T;F;F;
Amelia_ATAH.wav;500ms_silence.wav;Amelia_ASSAH.wav;500ms_silence.wav;Ewan_ASSAH.wav;B;112;Amel;T;SS;SS;
Amelia_ATAH2.wav;500ms_silence.wav;Amelia_ASHAH2.wav;500ms_silence.wav;Ewan_ASHAH2.wav;B;113;Amel;T;SH;SH;2
Amelia_EETEE1.wav;500ms_silence.wav;Amelia_EETHEE1.wav;500ms_silence.wav;Ewan_EETHEE1.wav;B;114;Amel;T;TH;TH;1
Amelia_AKAH2.wav;500ms_silence.wav;Amelia_APAH2.wav;500ms_silence.wav;Ewan_APAH2.wav;B;115;Amel;K;P;P;2
Ewan_AKAH2.wav;500ms_silence.wav;Ewan_ATAH2.wav;500ms_silence.wav;Amelia_ATAH2.wav;B;116;Ewan;K;T;T;2
Amelia_EEKEE3.wav;500ms_silence.wav;Amelia_EEFEE3.wav;500ms_silence.wav;Ewan_EEFEE3.wav;B;117;Amel;K;F;F;3
Ewan_EEKEE1.wav;500ms_silence.wav;Ewan_EESSEE1.wav;500ms_silence.wav;Amelia_EESSEE1.wav;B;118;Ewan;K;SS;SS;1
Amelia_AKAH.wav;500ms_silence.wav;Amelia_ASHAH.wav;500ms_silence.wav;Ewan_ASHAH.wav;B;119;Amel;K;SH;SH;
Amelia_AKAH.wav;500ms_silence.wav;Amelia_ATHAH.wav;500ms_silence.wav;Ewan_ATHAH.wav;B;120;Amel;K;TH;TH;
Ewan_AFAH3.wav;500ms_silence.wav;Ewan_APAH3.wav;500ms_silence.wav;Amelia_APAH3.wav;B;121;Ewan;F;P;P;3
Ewan_AFAH2.wav;500ms_silence.wav;Ewan_ATAH2.wav;500ms_silence.wav;Amelia_ATAH2.wav;B;122;Ewan;F;T;T;2
Ewan_AFAH1.wav;500ms_silence.wav;Ewan_AKAH1.wav;500ms_silence.wav;Amelia_AKAH1.wav;B;123;Ewan;F;K;K;1
Ewan_EEFEE2.wav;500ms_silence.wav;Ewan_EESSEE2.wav;500ms_silence.wav;Amelia_EESSEE2.wav;B;124;Ewan;F;SS;SS;2
Amelia_AFAH2.wav;500ms_silence.wav;Amelia_ASHAH2.wav;500ms_silence.wav;Ewan_ASHAH2.wav;B;125;Amel;F;SH;SH;2
Ewan_AFAH1.wav;500ms_silence.wav;Ewan_ATHAH1.wav;500ms_silence.wav;Amelia_ATHAH1.wav;B;126;Ewan;F;TH;TH;1
Amelia_ASSAH1.wav;500ms_silence.wav;Amelia_APAH1.wav;500ms_silence.wav;Ewan_APAH1.wav;B;127;Amel;SS;P;P;1
Amelia_ASSAH1.wav;500ms_silence.wav;Amelia_ATAH1.wav;500ms_silence.wav;Ewan_ATAH1.wav;B;128;Amel;SS;T;T;1
Amelia_EESSEE2.wav;500ms_silence.wav;Amelia_EEKEE2.wav;500ms_silence.wav;Ewan_EEKEE2.wav;B;129;Amel;SS;K;K;2
Ewan_EESSEE.wav;500ms_silence.wav;Ewan_EEFEE.wav;500ms_silence.wav;Amelia_EEFEE.wav;B;130;Ewan;SS;F;F;
Amelia_EESSEE2.wav;500ms_silence.wav;Amelia_EESHEE2.wav;500ms_silence.wav;Ewan_EESHEE2.wav;B;131;Amel;SS;SH;SH;2
Amelia_EESSEE.wav;500ms_silence.wav;Amelia_EETHEE.wav;500ms_silence.wav;Ewan_EETHEE.wav;B;132;Amel;SS;TH;TH;
Amelia_ASHAH1.wav;500ms_silence.wav;Amelia_APAH1.wav;500ms_silence.wav;Ewan_APAH1.wav;B;133;Amel;SH;P;P;1
Amelia_EESHEE1.wav;500ms_silence.wav;Amelia_EETEE1.wav;500ms_silence.wav;Ewan_EETEE1.wav;B;134;Amel;SH;T;T;1
Amelia_ASHAH3.wav;500ms_silence.wav;Amelia_AKAH3.wav;500ms_silence.wav;Ewan_AKAH3.wav;B;135;Amel;SH;K;K;3
Ewan_ASHAH2.wav;500ms_silence.wav;Ewan_AFAH2.wav;500ms_silence.wav;Amelia_AFAH2.wav;B;136;Ewan;SH;F;F;2
Ewan_ASHAH.wav;500ms_silence.wav;Ewan_ASSAH.wav;500ms_silence.wav;Amelia_ASSAH.wav;B;137;Ewan;SH;SS;SS;
Amelia_EESHEE.wav;500ms_silence.wav;Amelia_EETHEE.wav;500ms_silence.wav;Ewan_EETHEE.wav;B;138;Amel;SH;TH;TH;
Ewan_EETHEE.wav;500ms_silence.wav;Ewan_EEPEE.wav;500ms_silence.wav;Amelia_EEPEE.wav;B;139;Ewan;TH;P;P;
Amelia_ATHAH2.wav;500ms_silence.wav;Amelia_ATAH2.wav;500ms_silence.wav;Ewan_ATAH2.wav;B;140;Amel;TH;T;T;2
Amelia_EETHEE3.wav;500ms_silence.wav;Amelia_EEKEE3.wav;500ms_silence.wav;Ewan_EEKEE3.wav;B;141;Amel;TH;K;K;3
Ewan_ATHAH2.wav;500ms_silence.wav;Ewan_AFAH2.wav;500ms_silence.wav;Amelia_AFAH2.wav;B;142;Ewan;TH;F;F;2
Ewan_ATHAH.wav;500ms_silence.wav;Ewan_ASSAH.wav;500ms_silence.wav;Amelia_ASSAH.wav;B;143;Ewan;TH;SS;SS;
Ewan_ATHAH1.wav;500ms_silence.wav;Ewan_ASHAH1.wav;500ms_silence.wav;Amelia_ASHAH1.wav;B;144;Ewan;TH;SH;SH;1
