tripletid,distance_normed_filterbank__dtw_pathlength_OTH,distance_normed_filterbank__dtw_pathlength_TGT,distance_normed_filterbank__dtw_sum_OTH,distance_normed_filterbank__dtw_sum_TGT,distance_normed_mfcc__dtw_pathlength_OTH,distance_normed_mfcc__dtw_pathlength_TGT,distance_normed_mfcc__dtw_sum_OTH,distance_normed_mfcc__dtw_sum_TGT,distance_unnormed_filterbank__dtw_pathlength_OTH,distance_unnormed_filterbank__dtw_pathlength_TGT,distance_unnormed_filterbank__dtw_sum_OTH,distance_unnormed_filterbank__dtw_sum_TGT,distance_unnormed_mfcc__dtw_pathlength_OTH,distance_unnormed_mfcc__dtw_pathlength_TGT,distance_unnormed_mfcc__dtw_sum_OTH,distance_unnormed_mfcc__dtw_sum_TGT,CORR_ANS,item_TGT,item_OTH,item_X,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
stimulus98_A,3.74762928605837,4.06298053366034,326.043747887078,357.54228696211,4.99419323851557,4.77431644557525,389.547072604215,381.94531564602,14.6961200198364,15.5884827142336,1263.86632170593,1356.19799613833,11.870947999292,11.4607654932482,961.546787942649,939.782770446356,A,ewan_34,ewan_43,amelia_vowels_33,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
stimulus99_B,4.61092414612699,3.9664110973132,368.873931690159,325.245709979682,4.58098017202898,4.24074807313773,352.735473246231,322.296853558468,16.8676660746723,14.754922362714,1332.54561989911,1224.65855610526,10.966984855877,10.6179828768912,833.490849046649,796.348715766843,B,amelia_vowels_39,amelia_vowels_48,ewan_37,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ
stimulus100_B,4.61092414612699,4.18237789471523,368.873931690159,368.04925473494,4.58098017202898,4.37135386695183,352.735473246231,380.307786424809,16.8676660746723,15.1472904422494,1332.54561989911,1332.96155891795,10.966984855877,9.75093569430409,833.490849046649,848.331405404456,B,ewan_46,ewan_37,amelia_vowels_48,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u
stimulus101_B,4.43502847172036,4.95926823694916,376.977420096231,376.904386008136,4.47735558605345,4.24158644606135,371.620513642436,318.118983454601,15.7583063875893,18.4878260846476,1355.21434933268,1405.07478243322,12.4883248047727,11.2910784776832,1036.53095879614,846.830885826241,B,ewan_8,ewan_21,amelia_vowels_5,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ
stimulus102_A,3.74762928605837,3.79074348909074,326.043747887078,322.213196572713,4.99419323851557,5.4042412931454,389.547072604215,399.91385569276,14.6961200198364,14.5885692172818,1263.86632170593,1240.02838346895,11.870947999292,10.6753322185535,961.546787942649,907.403238577051,A,amelia_vowels_41,amelia_vowels_33,ewan_43,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u
stimulus103_A,4.9618524217251,3.90007214571073,337.405964677307,292.505410928305,3.91054693341285,3.47514441261767,265.917191472074,257.160686533707,17.8854569417528,14.1498911431995,1234.09652898094,1061.24183573996,10.7007489138852,8.48489623049818,727.650926144194,636.367217287363,A,amelia_consonants_31,amelia_consonants_23,ewan_80,amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f
stimulus104_B,4.19808881569357,3.56049319531157,293.86621709855,245.674030476499,3.73027417280779,4.24981113527294,249.928369578122,284.737346063287,15.8559752563938,13.3091102770451,1094.06229269117,918.32860911611,9.67243884910043,9.91007162511971,648.053402889729,673.88487050814,B,ewan_76,ewan_68,amelia_consonants_27,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f
stimulus105_B,4.9618524217251,4.11275680341429,337.405964677307,279.667462632172,3.91054693341285,3.42602549013817,265.917191472074,232.969733329395,17.8854569417528,14.7573219204716,1234.09652898094,1003.49789059207,10.7007489138852,8.94944648578029,727.650926144194,608.56236103306,B,ewan_71,ewan_80,amelia_consonants_23,ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k
stimulus106_A,4.19808881569357,4.55842086703049,293.86621709855,305.414198091043,3.73027417280779,3.94648174249628,249.928369578122,260.467795004755,15.8559752563938,16.6591845234018,1094.06229269117,1116.16536306792,9.67243884910043,10.0808408445777,648.053402889729,645.173814052974,A,amelia_consonants_20,amelia_consonants_27,ewan_68,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k
stimulus107_A,4.94042624950302,3.90007214571073,380.412821211733,292.505410928305,4.0682447034001,3.47514441261767,301.050108051608,257.160686533707,18.1078314382289,14.1498911431995,1376.1951893054,1061.24183573996,10.4832150180025,8.48489623049818,775.757911332188,636.367217287363,A,ewan_80,ewan_56,amelia_consonants_31,ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f
