_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,CV_2,context_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,amelia_vowels45,stimulus48_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan22,NA,NA,NA,NA,NA
A,amelia_vowels45,stimulus48_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan45,NA,NA,NA,NA,NA
A,amelia_vowels45,stimulus56_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan38,NA,NA,NA,NA,NA
A,amelia_vowels45,stimulus56_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan45,NA,NA,NA,NA,NA
A,amelia_vowels6,stimulus17_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan45,NA,NA,NA,NA,NA
A,amelia_vowels6,stimulus17_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan6,NA,NA,NA,NA,NA
A,amelia_vowels6,stimulus9_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan37,NA,NA,NA,NA,NA
A,amelia_vowels6,stimulus9_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan6,NA,NA,NA,NA,NA
A,ewan10,stimulus25_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels33,NA,NA,NA,NA,NA
A,ewan10,stimulus25_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels10,NA,NA,NA,NA,NA
A,ewan10,stimulus33_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels41,NA,NA,NA,NA,NA
A,ewan10,stimulus33_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels10,NA,NA,NA,NA,NA
A,ewan102,stimulus141_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants15,NA,NA,NA,NA,NA
A,ewan102,stimulus141_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants54,NA,NA,NA,NA,NA
A,ewan103,stimulus100_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants22,NA,NA,NA,NA,NA
A,ewan103,stimulus100_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants55,NA,NA,NA,NA,NA
A,ewan103,stimulus128_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants46,NA,NA,NA,NA,NA
A,ewan103,stimulus128_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants55,NA,NA,NA,NA,NA
