CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,CV_OTH,context_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,CV_TGT,context_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,ewan_76,stimulus74_B,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,1267.74300785714,C,A,amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH,1194.73030443019,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
B,ewan_87,stimulus75_B,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,1181.52633191271,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,1118.60784425365,C,I,amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE
A,amelia_consonants_34,stimulus76_A,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,1267.74300785714,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,1232.04315649423,C,A,ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH
A,ewan_76,stimulus77_A,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,972.70021471058806,C,A,amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,1194.73030443019,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
B,amelia_consonants_28,stimulus78_B,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,1173.88808952406,C,A,ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH,1194.73030443019,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,ewan_103,stimulus79_B,ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,1125.9061622446,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,1270.50153550572,C,I,amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,amelia_consonants_55,stimulus80_A,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,1153.39592433828,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,1270.50153550572,C,I,ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE
A,amelia_consonants_30,stimulus81_A,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,1108.51674065273,C,I,ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,1055.24645308625,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
B,ewan_78,stimulus82_B,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,1141.79663586998,C,I,amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,1055.24645308625,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
B,ewan_58,stimulus83_B,ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,1395.99789802762,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,1172.59732620571,C,A,amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
