CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
A,ewan_50,stimulus17_A,raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,903.446139560931,A,C,raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH,712.615893895977,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
B,ewan_56,stimulus18_B,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,865.106541795744,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE,636.551240838694,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_55,stimulus19_B,raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,865.106541795744,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,663.630387875089,I,C,raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
A,amelia_consonants_49,stimulus20_A,raw/amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,903.446139560931,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH,714.382515315565,A,C,raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
A,amelia_consonants_7,stimulus21_A,raw/amelia_consonants.wav,17.98056,18.54394,EEPEE,amelia,C,I,p,581.42879161262,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE,636.551240838694,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE
B,ewan_56,stimulus22_B,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,696.336393478766,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE,636.551240838694,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_9,stimulus23_B,raw/amelia_consonants.wav,23.476670000000002,24.1025,ATAH,amelia,C,A,t,843.115928840382,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH,726.692034687311,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_37,stimulus24_A,raw/ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,831.843228104708,I,V,raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI,796.348715766843,I,V,raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
A,ewan_59,stimulus25_A,raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,665.346087527184,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH,726.692034687311,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,ewan_96,stimulus26_A,raw/ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,719.963154799786,I,C,raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,568.830613335176,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
B,amelia_consonants_42,stimulus27_B,raw/amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,766.597342678517,A,C,raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH,638.523678021565,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
B,amelia_consonants_38,stimulus28_B,raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,719.963154799786,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE,603.016470866754,I,C,raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
A,ewan_83,stimulus29_A,raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,766.597342678517,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH,848.823030902515,A,C,raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_92,stimulus30_A,raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,745.403587502728,A,C,raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH,638.523678021565,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
B,amelia_consonants_46,stimulus31_B,raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,754.769093436857,I,C,raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE,568.830613335176,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
B,amelia_consonants_49,stimulus32_B,raw/amelia_consonants.wav,129.9825,130.6925,ATHAH,amelia,C,A,θ,745.403587502728,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,714.382515315565,A,C,raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH
A,ewan_101,stimulus33_A,raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,754.769093436857,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,663.630387875089,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,amelia_consonants_46,stimulus34_A,raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,686.716822542802,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE,568.830613335176,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,ewan_2,stimulus35_A,raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,1088.95009967912,A,V,raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH,1039.24655290795,A,V,raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
B,ewan_92,stimulus36_B,raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,740.447923992145,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH,638.523678021565,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
B,amelia_consonants_9,stimulus37_B,raw/amelia_consonants.wav,23.476670000000002,24.1025,ATAH,amelia,C,A,t,740.447923992145,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,726.692034687311,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_62,stimulus38_A,raw/ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,686.716822542802,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,554.738664010094,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
A,amelia_consonants_38,stimulus39_A,raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,647.394961574848,I,C,raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE,603.016470866754,I,C,raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,amelia_consonants_34,stimulus40_B,raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,854.783520440222,A,C,raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH,848.823030902515,A,C,raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
B,ewan_101,stimulus41_B,raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,647.394961574848,I,C,raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,663.630387875089,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_97,stimulus42_A,raw/ewan.wav,279.7725,280.3225,ATHAH,ewan,C,A,θ,854.783520440222,A,C,raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH,714.382515315565,A,C,raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH
A,ewan_83,stimulus43_A,raw/ewan.wav,244.4025,244.9725,ASSAH,ewan,C,A,s,816.721765638415,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH,848.823030902515,A,C,raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
B,amelia_consonants_38,stimulus44_B,raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,648.952547650996,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE,603.016470866754,I,C,raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,ewan_62,stimulus45_B,raw/ewan.wav,185.2225,185.7725,EETEE,ewan,C,I,t,648.952547650996,I,C,raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,554.738664010094,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE
B,amelia_vowels_5,stimulus46_B,raw/amelia_vowels.wav,12.5659,13.309679999999998,HADI,amelia,V,I,ɑ,813.146857608412,I,V,raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI,846.830885826241,I,V,raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
A,amelia_consonants_9,stimulus47_A,raw/amelia_consonants.wav,23.476670000000002,24.1025,ATAH,amelia,C,A,t,816.721765638415,A,C,raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH,726.692034687311,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_101,stimulus48_A,raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,722.60510481657,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE,663.630387875089,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
B,amelia_consonants_55,stimulus49_B,raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,716.212262862941,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE,663.630387875089,I,C,raw/ewan.wav,ewan_101,290.7225,290.0925,θ,ewan,EETHEE
B,amelia_consonants_9,stimulus50_B,raw/amelia_consonants.wav,23.476670000000002,24.1025,ATAH,amelia,C,A,t,774.237107940567,A,C,raw/ewan.wav,ewan_97,280.3225,279.7725,θ,ewan,ATHAH,726.692034687311,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH
A,ewan_59,stimulus51_A,raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,807.440380342185,A,C,raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH,726.692034687311,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
B,ewan_29,stimulus52_B,raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,813.146857608412,I,V,raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI,807.77674775564,I,V,raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI
A,amelia_vowels_25,stimulus53_A,raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,1088.95009967912,A,V,raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,898.993614707303,A,V,raw/ewan.wav,ewan_28,81.7525,81.0625,ʌ,ewan,HUHDAH
A,amelia_vowels_5,stimulus54_A,raw/amelia_vowels.wav,12.5659,13.309679999999998,HADI,amelia,V,I,ɑ,894.886787454625,I,V,raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI,846.830885826241,I,V,raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
B,ewan_2,stimulus55_B,raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,1270.44203902177,A,V,raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,1039.24655290795,A,V,raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
B,amelia_vowels_41,stimulus56_B,raw/amelia_vowels.wav,107.22875,107.96148000000001,WHODAH,amelia,V,A,u,1270.44203902177,A,V,raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,907.403238577051,A,V,raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH
B,ewan_2,stimulus57_B,raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,1091.79513668016,A,V,raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH,1039.24655290795,A,V,raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
A,ewan_46,stimulus58_A,raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,894.886787454625,I,V,raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI,848.331405404456,I,V,raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI
A,amelia_vowels_11,stimulus59_A,raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,1128.04510119454,A,V,raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH,881.743133402397,A,V,raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,amelia_vowels_15,stimulus60_B,raw/amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,989.225998923787,I,V,raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI,747.099017802302,I,V,raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
B,ewan_21,stimulus61_B,raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,989.225998923787,I,V,raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI,858.923900149637,I,V,raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
A,ewan_19,stimulus62_A,raw/ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,1128.04510119454,A,V,raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH,928.463669008754,A,V,raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
A,ewan_10,stimulus63_A,raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,1059.05665296378,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,881.743133402397,A,V,raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
B,ewan_14,stimulus64_B,raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,964.102258996145,I,V,raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI,747.099017802302,I,V,raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI
B,amelia_vowels_39,stimulus65_B,raw/amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,964.102258996145,I,V,raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,796.348715766843,I,V,raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
A,amelia_vowels_33,stimulus66_A,raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,1059.05665296378,A,V,raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH,939.782770446356,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
A,amelia_vowels_11,stimulus67_A,raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,913.604512573572,A,V,raw/ewan.wav,ewan_28,81.7525,81.0625,ʌ,ewan,HUHDAH,881.743133402397,A,V,raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,amelia_vowels_11,stimulus68_B,raw/amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,1091.79513668016,A,V,raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,881.743133402397,A,V,raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
B,ewan_10,stimulus69_B,raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,939.8768536122,A,V,raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH,881.743133402397,A,V,raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
B,ewan_29,stimulus70_B,raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,808.847771991332,I,V,raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI,807.77674775564,I,V,raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI
A,amelia_vowels_30,stimulus71_A,raw/amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,736.688965957407,I,V,raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,807.77674775564,I,V,raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
A,ewan_10,stimulus72_A,raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,1028.78002175849,A,V,raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,881.743133402397,A,V,raw/amelia_vowels.wav,amelia_vowels_11,28.2425,27.47216,æ,amelia,HAEDAH
B,ewan_14,stimulus73_B,raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,919.313139063853,I,V,raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI,747.099017802302,I,V,raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI
B,amelia_vowels_48,stimulus74_B,raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,919.313139063853,I,V,raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,848.331405404456,I,V,raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
A,amelia_vowels_41,stimulus75_A,raw/amelia_vowels.wav,107.22875,107.96148000000001,WHODAH,amelia,V,A,u,1028.78002175849,A,V,raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH,907.403238577051,A,V,raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH
A,amelia_vowels_22,stimulus76_A,raw/amelia_vowels.wav,57.64913000000001,58.41293,HEEDI,amelia,V,I,i,971.951350151046,I,V,raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,858.923900149637,I,V,raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI
B,ewan_21,stimulus77_B,raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,931.543852364922,I,V,raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI,858.923900149637,I,V,raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
B,amelia_vowels_33,stimulus78_B,raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,1168.5937466497,A,V,raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH,939.782770446356,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
A,amelia_vowels_15,stimulus79_A,raw/amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,900.36795526894,I,V,raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI,747.099017802302,I,V,raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
A,ewan_34,stimulus80_A,raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,1173.16317815245,A,V,raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH,939.782770446356,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
A,amelia_vowels_22,stimulus81_A,raw/amelia_vowels.wav,57.64913000000001,58.41293,HEEDI,amelia,V,I,i,1123.32425835882,I,V,raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI,858.923900149637,I,V,raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI
B,ewan_21,stimulus82_B,raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,1013.15370828759,I,V,raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI,858.923900149637,I,V,raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
