_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
ᵑᵐɡ͡b,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
lʰ,+,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,-,+,-,-,+,+,-
jʰ,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-
m̩,+,+,-,-,-,-,+,-,-,-,+,-,+,+,-,-,-,-,-,-,+,+,-
l̩,+,-,-,-,-,+,-,-,-,-,+,-,-,+,+,-,-,+,-,-,+,+,-
n̩,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,+,-
j̥,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-
ɓʷ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,+
çʷ,-,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+
ɗʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,+
c̀ɕ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
t̀,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-
p̀,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
tl,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
tlʼ,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
dl,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɲʰ,-,-,-,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,+,-
rʰ,+,-,-,-,-,-,-,-,+,-,-,+,-,+,+,+,-,+,-,-,+,+,-
o̞,-,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
a̞,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
æ̞,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
ɛ̞,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
s̪v,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
z̪v,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-
zˤ,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,+,-,+,+,-
pˤ,+,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-
cˤ,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-
kˤ,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-
iə,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
uə,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
lʷ,+,+,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,+
ɯə,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
tʰʷ,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,+
ʌ̝,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
tsʰʷ,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+
tʼʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,+
tsʼʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+
tsʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,+
tʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+
iɛ,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
uɔ,-,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
ʃʲ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
tʃʲ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
ʒʲ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
dʒʲ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
dzʲ,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
ɓ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-
ɗ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-
ᵑb,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,-
dʒ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,-
tʃ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-
mβ,+,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-
ɳʷ,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,+
lˠʷ,+,+,+,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,+
rʷ,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,+
qχ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
kʼʲ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ɠ̥,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-
a̝ː,-,-,+,-,+,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
vʰ,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,+,-,+,+,-
w*,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
b*,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ʋ*,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
ʍ,+,+,+,+,-,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-
p*,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
aːː,-,-,+,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,+,-,+,-
iːː,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,+,-,+,-
eːː,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,+,-,+,-
oːː,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,+,-,+,+
uːː,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,+,-,+,+
ɨːː,-,-,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,+,-,+,-
u̝,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
i̝,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɨ̃ʔɨ̃,-,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,+,-
eʔe,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
ũʔũ,-,+,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,+,+
aʔa,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,-,-,+,-
uʔu,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,+
ẽʔẽ,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,+,-
ɨʔɨ,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
ĩʔĩ,-,-,-,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,+,-
oʔo,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,+
iʔi,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
ãʔã,-,-,+,-,-,-,-,-,-,+,+,+,+,+,-,-,+,+,-,-,-,+,-
ɡ͡ɓ,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-
ɜ,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ɐ,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
ɐː,-,-,+,-,+,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
ɨ˞,-,-,+,+,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,+,-
ə˞,-,-,+,-,-,-,-,-,-,-,+,+,-,+,+,-,-,+,-,-,-,+,-
ᵐɲ,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
ᵐɬ,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,-,-
ᵑc,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ʔw,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+,-
ᵐt,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ⁿts,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,+,-,-
ᵐd,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
b͡tʃ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
b͡ç,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ᵐdʒ,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-
ᵐtʃ,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,+,-,-
bz,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-
p͡t,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
vɾ,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,+,-
ᵐdz,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-
ps,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
b͡ɗ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-
ᵐts,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,+,-,-
b͡ʝ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ᵐʃ,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,+,-,+,-,-
p͡ts,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
b͡d,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
bɮ,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
b͡dʒ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-
b͡dz,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-
ɬʷ,+,+,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+
sʰ,+,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,+,-,+,-,-
ŋʰ,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,+,-
ʝʼ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,+,+,-
ᵐf,+,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-
d̥,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɡ̥,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
mb̥,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
n̞,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
b̥,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
s̞,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
ⁿɬ,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,-,-
ᵐpʼ,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-
n̪t̪ʼ,+,-,-,-,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-
pʃʰ,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-
ⁿdl,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
tlʰ,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
n̞s̞,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,-,-
ᵐv,+,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-
ɟ̥,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
kxʰ,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
kxʼ,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ᵑkxʼ,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-
ⁿtʰ,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-,-,-,-,+,-,-
nd̥,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ᵑɡ̥,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ᵐpʰ,+,+,-,-,-,-,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-
ie,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɳɖɽ,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
ʈɽ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɖ˞,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-
ɖɽ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ʄ̥,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-
ɓ̥,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-
pv,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
pfʰ,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-
u̯o,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
i̯o,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
i̯e,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
o̯u,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
e̯o,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ə̯i,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ǀkxʔ,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ãˤ,-,-,+,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-
ɡǂx,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ǃʰ,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ʔǀn,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-
aˤʔ,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,-,-,+,-
oʔ,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,+
ǁn̥,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
ɡǁx,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ǃ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǂ,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǁ,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ʔǂn,-,-,+,+,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-
tx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
uʔ,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,+
ʔʘn,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-
ʔn,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-
ṳˤ,-,+,+,+,+,-,-,-,+,+,+,+,-,+,-,+,-,+,-,-,-,+,+
tsx,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
mʘG,+,+,+,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ṳʔ,-,+,+,+,+,-,-,-,+,-,+,+,-,+,-,+,+,+,-,-,-,+,+
mǃG,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ɡǂʰ,-,-,+,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-
dx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ʘʔ,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ɡǁʰ,+,-,+,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-
o̤ˤ,-,+,+,-,+,-,-,-,+,+,+,+,-,+,-,+,-,+,-,-,-,+,+
ǀn̥,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
dzʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-
ǂn,-,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
dzʰ,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,+,-
ǂʔ,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ǂq,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ʘʰ,+,+,+,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
ǂx,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
tsʼkxʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ǂkxʔ,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ɡǀʰ,+,-,+,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-
ã̤ˤ,-,-,+,-,-,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,+,-
ǂʰ,-,-,+,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ṳ,-,+,+,+,+,-,-,-,+,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ɡʘ,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ũʔ,-,+,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,+,+
ɡǂkx,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ʔǁn,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-
ẽ̤,-,-,-,-,+,-,-,-,+,-,+,+,+,+,-,+,-,+,-,-,-,+,-
ɡǀx,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ũˤ,-,+,+,+,+,-,-,-,-,+,+,+,+,+,-,+,-,+,-,-,-,+,+
ǀʔ,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ṳ̃,-,+,+,+,-,-,-,-,+,-,+,+,+,+,-,-,-,+,-,-,-,+,+
uˤ,-,+,+,+,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,+
ɡkx’,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ǀʰ,+,-,+,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
ãʔ,-,-,+,-,-,-,-,-,-,+,+,+,+,+,-,-,+,+,-,-,-,+,-
oˤ,-,+,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,+
ǃn̥,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
dzx,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
tʼkxʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
õˤ,-,+,+,-,+,-,-,-,-,+,+,+,+,+,-,+,-,+,-,-,-,+,+
mǀG,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ǀx,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
õ̤ʔ,-,+,+,-,+,-,-,-,+,-,+,+,+,+,-,+,+,+,-,-,-,+,+
ǂn̥,-,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
dʼkxʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ǀq,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǀn,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
dzʼkxʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ǃkxʔ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ʘq,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ɡǁkx,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ʘx,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
aʔ,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,-,-,+,-
õ̤,-,+,+,-,+,-,-,-,+,-,+,+,+,+,-,+,-,+,-,-,-,+,+
a̤ˤ,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,-,-,+,-,-,-,+,-
ɡǃkx,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
eʔ,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
ʘn,+,+,+,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
a̤ʔ,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,-,+,+,-,-,-,+,-
iʔ,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
ǁx,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ʘkxʔ,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ǃqʰ,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǁq,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɡǃʰ,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-
ǁn,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
ɡʘx,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ǃqʔ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ɡǀkx,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ĩʔ,-,-,-,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,+,-
ã̤ʔ,-,-,+,-,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,-,+,-
ɡǃx,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
mǂG,-,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ǃʔ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
e̤,-,-,-,-,+,-,-,-,+,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɡʘkx,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ǀqʰ,+,-,+,+,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǁqʔ,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ʘ,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
o̤,-,+,+,-,+,-,-,-,+,-,+,+,-,+,-,+,-,+,-,-,-,+,+
o̤ʔ,-,+,+,-,+,-,-,-,+,-,+,+,-,+,-,+,+,+,-,-,-,+,+
ǃn,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ǃq,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǀqʔ,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ǁqʰ,+,-,+,+,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɡʘʰ,+,+,+,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-
ǃx,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
mǁG,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
i̤,-,-,-,+,+,-,-,-,+,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ʘn̥,+,+,+,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
