_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
t̻ɕʼ,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
kʼ,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ɡʷ,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+
ʃʷ,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+
tʃʷ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,+
ts,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
ʂʰ,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,+,-,+,-,-
ʃʼ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,-
ʈʂ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
ɬ,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-
ʁʷ,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+
ɮ,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-
ʒʷ,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+
ɬʼ,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,+,-,-
d̻ʑ,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
ɕ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
tʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
dʒʷ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,+
ʑ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
ʃʼʷ,+,+,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,+
tʃʰʷ,-,+,-,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+
ɖʐ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
dz,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
xʰ,-,-,+,+,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,+,-,-
kʰʷ,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+
ʂ,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
kʼʷ,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+
tsʰ,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-
t̻ɕ,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
tsʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
pʼ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
qʰ,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
ʈʂʰ,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-
