"","subject_id","tripletid","delta_dist_sub","subject_language","user_corr","phone_OTH","phone_TGT","phone_TGT_nat_non","phone_OTH_nat_non","cross_lang","glob","loc","econ"
"601","X_CSKAOILVZG","stimulus137_A",-0.57992946512703,"English",1,"t","s","nonnat","native","cross_lang",0.5,0.696969696969697,0.0647773279352227
"602","X_CSKAOILVZG","stimulus140_A",-0.0425187088615608,"English",0,"s","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"603","X_CSKAOILVZG","stimulus142_B",-0.67948216867949,"English",0,"t","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"604","X_CSKAOILVZG","stimulus96_A",-0.59368711290374,"English",1,"k","s","nonnat","native","cross_lang",0.5,0.696969696969697,0.0647773279352227
"605","X_CSKAOILVZG","stimulus89_A",0.30888568748682,"English",0,"ʃ","k","native","nonnat","cross_lang",0.434285714285714,0.727272727272727,0.047328903011436
"606","X_CSKAOILVZG","stimulus95_B",-1.30841048877549,"English",1,"k","s","nonnat","native","cross_lang",0.5,0.696969696969697,0.0647773279352227
"607","X_CSKAOILVZG","stimulus94_B",-1.71914158805024,"English",1,"s","k","native","nonnat","cross_lang",0.434285714285714,0.727272727272727,0.047328903011436
"608","X_CSKAOILVZG","stimulus35_B",0.27247605185589,"English",1,"æ","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
"609","X_CSKAOILVZG","stimulus34_B",-1.78779106812845,"English",0,"u","æ","native","nonnat","cross_lang",0.6,0.687770562770563,0.0647773279352227
"610","X_CSKAOILVZG","stimulus144_A",-0.378083086339941,"English",0,"θ","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"611","X_CSKAOILVZG","stimulus130_B",-0.61660330064099,"English",1,"t","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"612","X_CSKAOILVZG","stimulus41_A",-1.96332563163834,"English",1,"ʌ","i","native","nonnat","cross_lang",0.382783882783883,0.621212121212121,0.141666666666667
"613","X_CSKAOILVZG","stimulus36_A",-0.93031904250185,"English",0,"æ","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
"614","X_CSKAOILVZG","stimulus48_A",1.00837400281545,"English",0,"i","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
"615","X_CSKAOILVZG","stimulus47_B",0.0205296637011694,"English",0,"i","u","nonnat","native","cross_lang",0.45,0.757575757575758,0.0647773279352227
"616","X_CSKAOILVZG","stimulus92_A",-0.94627448137601,"English",0,"k","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"617","X_CSKAOILVZG","stimulus44_A",-0.27772720850383,"English",0,"i","ʌ","nonnat","native","cross_lang",0.48,0.651515151515151,0.047328903011436
"618","X_CSKAOILVZG","stimulus33_A",-1.23164384043773,"English",0,"u","æ","native","nonnat","cross_lang",0.6,0.687770562770563,0.0647773279352227
"619","X_CSKAOILVZG","stimulus45_A",-1.09432217477152,"English",1,"u","i","native","nonnat","cross_lang",0.382783882783883,0.621212121212121,0.141666666666667
"620","X_CSKAOILVZG","stimulus43_B",-1.48090757899657,"English",1,"i","ʌ","nonnat","native","cross_lang",0.48,0.651515151515151,0.047328903011436
"621","X_CSKAOILVZG","stimulus131_B",-0.57255196225387,"English",1,"ʃ","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"622","X_CSKAOILVZG","stimulus42_B",-0.938202876910401,"English",1,"ʌ","i","native","nonnat","cross_lang",0.382783882783883,0.621212121212121,0.141666666666667
