file_TGT,onset_TGT,offset_TGT,file_OTH,onset_OTH,offset_OTH,file_X,onset_X,offset_X
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,89.148160,89.822500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,91.354990,92.112500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,91.354990,92.112500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,91.354990,92.112500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,93.758290,94.472500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,91.354990,92.112500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,93.758290,94.472500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,93.758290,94.472500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,93.758290,94.472500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,96.171570,96.842500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,91.354990,92.112500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,96.171570,96.842500,ewan.wav,224.332500,224.882500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,96.171570,96.842500,ewan.wav,219.372500,219.922500
amelia_consonants.wav,74.477140,75.179260,amelia_consonants.wav,93.758290,94.472500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,93.758290,94.472500,ewan.wav,216.932500,217.482500
amelia_consonants.wav,72.102500,72.762500,amelia_consonants.wav,96.171570,96.842500,ewan.wav,221.872500,222.392500
amelia_consonants.wav,67.492500,68.112500,amelia_consonants.wav,93.758290,94.472500,ewan.wav,221.872500,222.392500
