File1	Silence1	File2	Silence2	File3	CORR_ANS	filename
amelia_vowels10	500ms_silence	amelia_vowels33	500ms_silence	ewan10	A	stimulus25_A
amelia_vowels37	500ms_silence	amelia_vowels14	500ms_silence	ewan14	B	stimulus26_B
ewan14	500ms_silence	ewan37	500ms_silence	amelia_vowels37	B	stimulus27_B
ewan33	500ms_silence	ewan10	500ms_silence	amelia_vowels33	A	stimulus28_A
ewan10	500ms_silence	ewan25	500ms_silence	amelia_vowels10	A	stimulus29_A
amelia_vowels25	500ms_silence	amelia_vowels10	500ms_silence	ewan10	B	stimulus30_B
amelia_vowels14	500ms_silence	amelia_vowels29	500ms_silence	ewan29	B	stimulus31_B
ewan29	500ms_silence	ewan14	500ms_silence	amelia_vowels29	A	stimulus32_A
amelia_vowels10	500ms_silence	amelia_vowels41	500ms_silence	ewan10	A	stimulus33_A
amelia_vowels45	500ms_silence	amelia_vowels14	500ms_silence	ewan14	B	stimulus34_B
ewan14	500ms_silence	ewan45	500ms_silence	amelia_vowels45	B	stimulus35_B
ewan41	500ms_silence	ewan10	500ms_silence	amelia_vowels41	A	stimulus36_A
ewan22	500ms_silence	ewan37	500ms_silence	amelia_vowels22	A	stimulus37_A
amelia_vowels37	500ms_silence	amelia_vowels22	500ms_silence	ewan22	B	stimulus38_B
ewan18	500ms_silence	ewan33	500ms_silence	amelia_vowels33	B	stimulus39_B
amelia_vowels33	500ms_silence	amelia_vowels18	500ms_silence	ewan33	A	stimulus40_A
ewan22	500ms_silence	ewan29	500ms_silence	amelia_vowels22	A	stimulus41_A
amelia_vowels29	500ms_silence	amelia_vowels22	500ms_silence	ewan22	B	stimulus42_B
amelia_vowels18	500ms_silence	amelia_vowels25	500ms_silence	ewan25	B	stimulus43_B
ewan25	500ms_silence	ewan18	500ms_silence	amelia_vowels25	A	stimulus44_A
ewan18	500ms_silence	ewan41	500ms_silence	amelia_vowels18	A	stimulus45_A
amelia_vowels41	500ms_silence	amelia_vowels18	500ms_silence	ewan18	B	stimulus46_B
amelia_vowels22	500ms_silence	amelia_vowels45	500ms_silence	ewan45	B	stimulus47_B
ewan45	500ms_silence	ewan22	500ms_silence	amelia_vowels45	A	stimulus48_A
amelia_vowels34	500ms_silence	amelia_vowels25	500ms_silence	ewan34	A	stimulus49_A
ewan29	500ms_silence	ewan38	500ms_silence	amelia_vowels38	B	stimulus50_B
amelia_vowels38	500ms_silence	amelia_vowels29	500ms_silence	ewan29	B	stimulus51_B
ewan25	500ms_silence	ewan34	500ms_silence	amelia_vowels25	A	stimulus52_A
ewan34	500ms_silence	ewan41	500ms_silence	amelia_vowels34	A	stimulus53_A
amelia_vowels41	500ms_silence	amelia_vowels34	500ms_silence	ewan34	B	stimulus54_B
amelia_vowels38	500ms_silence	amelia_vowels45	500ms_silence	ewan45	B	stimulus55_B
ewan45	500ms_silence	ewan38	500ms_silence	amelia_vowels45	A	stimulus56_A
ewan34	500ms_silence	ewan41	500ms_silence	amelia_vowels34	A	stimulus57_A
amelia_vowels45	500ms_silence	amelia_vowels38	500ms_silence	ewan38	B	stimulus58_B
ewan38	500ms_silence	ewan45	500ms_silence	amelia_vowels45	B	stimulus59_B
amelia_vowels41	500ms_silence	amelia_vowels34	500ms_silence	ewan41	A	stimulus60_A
amelia_consonants30	500ms_silence	amelia_consonants23	500ms_silence	ewan78	A	stimulus61_A
ewan66	500ms_silence	ewan76	500ms_silence	amelia_consonants28	B	stimulus62_B
ewan78	500ms_silence	ewan71	500ms_silence	amelia_consonants23	B	stimulus63_B
