File1	Silence1	File2	Silence2	File3	CORR_ANS	filename
ewan76	500ms_silence	ewan50	500ms_silence	amelia_consonants2	B	stimulus67
amelia_consonants2	500ms_silence	amelia_consonants28	500ms_silence	ewan50	A	stimulus68
ewan76	500ms_silence	ewan90	500ms_silence	amelia_consonants28	A	stimulus69
amelia_consonants42	500ms_silence	amelia_consonants28	500ms_silence	ewan76	B	stimulus70
amelia_consonants30	500ms_silence	amelia_consonants47	500ms_silence	ewan95	B	stimulus71
ewan95	500ms_silence	ewan78	500ms_silence	amelia_consonants47	A	stimulus72
ewan78	500ms_silence	ewan87	500ms_silence	amelia_consonants30	A	stimulus73
amelia_consonants34	500ms_silence	amelia_consonants28	500ms_silence	ewan76	B	stimulus74
amelia_consonants30	500ms_silence	amelia_consonants39	500ms_silence	ewan87	B	stimulus75
ewan82	500ms_silence	ewan76	500ms_silence	amelia_consonants34	A	stimulus76
amelia_consonants28	500ms_silence	amelia_consonants50	500ms_silence	ewan76	A	stimulus77
ewan98	500ms_silence	ewan76	500ms_silence	amelia_consonants28	B	stimulus78
amelia_consonants30	500ms_silence	amelia_consonants55	500ms_silence	ewan103	B	stimulus79
ewan103	500ms_silence	ewan78	500ms_silence	amelia_consonants55	A	stimulus80
ewan78	500ms_silence	ewan63	500ms_silence	amelia_consonants30	A	stimulus81
amelia_consonants15	500ms_silence	amelia_consonants30	500ms_silence	ewan78	B	stimulus82
amelia_consonants28	500ms_silence	amelia_consonants10	500ms_silence	ewan58	B	stimulus83
ewan58	500ms_silence	ewan76	500ms_silence	amelia_consonants10	A	stimulus84
ewan70	500ms_silence	ewan55	500ms_silence	amelia_consonants22	A	stimulus85
ewan50	500ms_silence	ewan68	500ms_silence	amelia_consonants20	B	stimulus86
amelia_consonants22	500ms_silence	amelia_consonants7	500ms_silence	ewan55	B	stimulus87
amelia_consonants2	500ms_silence	amelia_consonants20	500ms_silence	ewan50	A	stimulus88
amelia_consonants22	500ms_silence	amelia_consonants47	500ms_silence	ewan70	A	stimulus89
ewan95	500ms_silence	ewan70	500ms_silence	amelia_consonants22	B	stimulus90
amelia_consonants20	500ms_silence	amelia_consonants42	500ms_silence	ewan90	B	stimulus91
ewan90	500ms_silence	ewan68	500ms_silence	amelia_consonants42	A	stimulus92
amelia_consonants22	500ms_silence	amelia_consonants39	500ms_silence	ewan70	A	stimulus93
ewan87	500ms_silence	ewan70	500ms_silence	amelia_consonants22	B	stimulus94
amelia_consonants20	500ms_silence	amelia_consonants34	500ms_silence	ewan82	B	stimulus95
ewan82	500ms_silence	ewan68	500ms_silence	amelia_consonants34	A	stimulus96
amelia_consonants20	500ms_silence	amelia_consonants50	500ms_silence	ewan68	A	stimulus97
ewan98	500ms_silence	ewan68	500ms_silence	amelia_consonants20	B	stimulus98
ewan70	500ms_silence	ewan103	500ms_silence	amelia_consonants55	B	stimulus99
amelia_consonants55	500ms_silence	amelia_consonants22	500ms_silence	ewan103	A	stimulus100
amelia_consonants22	500ms_silence	amelia_consonants15	500ms_silence	ewan70	A	stimulus101
ewan58	500ms_silence	ewan68	500ms_silence	amelia_consonants20	B	stimulus102
amelia_consonants20	500ms_silence	amelia_consonants10	500ms_silence	ewan58	B	stimulus103
ewan63	500ms_silence	ewan70	500ms_silence	amelia_consonants15	A	stimulus104
amelia_consonants6	500ms_silence	amelia_consonants47	500ms_silence	ewan54	A	stimulus105
ewan90	500ms_silence	ewan52	500ms_silence	amelia_consonants4	B	stimulus106
ewan54	500ms_silence	ewan95	500ms_silence	amelia_consonants47	B	stimulus107
amelia_consonants42	500ms_silence	amelia_consonants4	500ms_silence	ewan90	A	stimulus108
ewan52	500ms_silence	ewan82	500ms_silence	amelia_consonants4	A	stimulus109
ewan87	500ms_silence	ewan54	500ms_silence	amelia_consonants6	B	stimulus110
amelia_consonants4	500ms_silence	amelia_consonants34	500ms_silence	ewan82	B	stimulus111
amelia_consonants39	500ms_silence	amelia_consonants6	500ms_silence	ewan87	A	stimulus112
amelia_consonants4	500ms_silence	amelia_consonants50	500ms_silence	ewan52	A	stimulus113
amelia_consonants55	500ms_silence	amelia_consonants6	500ms_silence	ewan54	B	stimulus114
ewan54	500ms_silence	ewan103	500ms_silence	amelia_consonants55	B	stimulus115
ewan98	500ms_silence	ewan52	500ms_silence	amelia_consonants50	A	stimulus116
ewan54	500ms_silence	ewan63	500ms_silence	amelia_consonants6	A	stimulus117
amelia_consonants15	500ms_silence	amelia_consonants6	500ms_silence	ewan54	B	stimulus118
ewan52	500ms_silence	ewan58	500ms_silence	amelia_consonants10	B	stimulus119
amelia_consonants10	500ms_silence	amelia_consonants4	500ms_silence	ewan58	A	stimulus120
amelia_consonants46	500ms_silence	amelia_consonants39	500ms_silence	ewan94	A	stimulus121
ewan82	500ms_silence	ewan92	500ms_silence	amelia_consonants44	B	stimulus122
ewan94	500ms_silence	ewan87	500ms_silence	amelia_consonants39	B	stimulus123
amelia_consonants34	500ms_silence	amelia_consonants44	500ms_silence	ewan82	A	stimulus124
amelia_consonants44	500ms_silence	amelia_consonants50	500ms_silence	ewan92	A	stimulus125
ewan103	500ms_silence	ewan94	500ms_silence	amelia_consonants46	B	stimulus126
ewan92	500ms_silence	ewan98	500ms_silence	amelia_consonants50	B	stimulus127
amelia_consonants55	500ms_silence	amelia_consonants46	500ms_silence	ewan103	A	stimulus128
ewan94	500ms_silence	ewan63	500ms_silence	amelia_consonants46	A	stimulus129
amelia_consonants10	500ms_silence	amelia_consonants44	500ms_silence	ewan92	B	stimulus130
ewan92	500ms_silence	ewan58	500ms_silence	amelia_consonants10	B	stimulus131
amelia_consonants15	500ms_silence	amelia_consonants46	500ms_silence	ewan63	A	stimulus132
ewan86	500ms_silence	ewan103	500ms_silence	amelia_consonants38	A	stimulus133
ewan98	500ms_silence	ewan84	500ms_silence	amelia_consonants36	B	stimulus134
amelia_consonants38	500ms_silence	amelia_consonants55	500ms_silence	ewan103	B	stimulus135
amelia_consonants50	500ms_silence	amelia_consonants36	500ms_silence	ewan98	A	stimulus136
amelia_consonants36	500ms_silence	amelia_consonants10	500ms_silence	ewan84	A	stimulus137
ewan63	500ms_silence	ewan86	500ms_silence	amelia_consonants38	B	stimulus138
amelia_consonants38	500ms_silence	amelia_consonants15	500ms_silence	ewan63	B	stimulus139
ewan58	500ms_silence	ewan84	500ms_silence	amelia_consonants10	A	stimulus140
amelia_consonants54	500ms_silence	amelia_consonants15	500ms_silence	ewan102	A	stimulus141
ewan63	500ms_silence	ewan102	500ms_silence	amelia_consonants54	B	stimulus142
ewan100	500ms_silence	ewan58	500ms_silence	amelia_consonants10	B	stimulus143
amelia_consonants10	500ms_silence	amelia_consonants52	500ms_silence	ewan58	A	stimulus144
