File1,File2,File3,CORR_ANS,filename
ewan_34,ewan_43,amelia_vowels_33,A,stimulus98
amelia_vowels_48,amelia_vowels_39,ewan_37,B,stimulus99
ewan_37,ewan_46,amelia_vowels_48,B,stimulus100
ewan_21,ewan_8,amelia_vowels_5,B,stimulus101
amelia_vowels_41,amelia_vowels_33,ewan_43,A,stimulus102
amelia_consonants_31,amelia_consonants_23,ewan_80,A,stimulus103
ewan_68,ewan_76,amelia_consonants_27,B,stimulus104
ewan_80,ewan_71,amelia_consonants_23,B,stimulus105
amelia_consonants_20,amelia_consonants_27,ewan_68,A,stimulus106
ewan_80,ewan_56,amelia_consonants_31,A,stimulus107
amelia_consonants_7,amelia_consonants_31,ewan_80,B,stimulus108
ewan_76,ewan_50,amelia_consonants_3,B,stimulus109
amelia_consonants_3,amelia_consonants_27,ewan_50,A,stimulus110
ewan_76,ewan_92,amelia_consonants_27,A,stimulus111
ewan_2,ewan_19,amelia_vowels_17,B,stimulus112
amelia_consonants_42,amelia_consonants_27,ewan_76,B,stimulus113
amelia_consonants_31,amelia_consonants_46,ewan_96,B,stimulus114
ewan_96,ewan_80,amelia_consonants_46,A,stimulus115
ewan_80,ewan_87,amelia_consonants_31,A,stimulus116
amelia_consonants_34,amelia_consonants_27,ewan_76,B,stimulus117
amelia_consonants_31,amelia_consonants_38,ewan_87,B,stimulus118
ewan_83,ewan_76,amelia_consonants_34,A,stimulus119
amelia_consonants_27,amelia_consonants_49,ewan_76,A,stimulus120
ewan_97,ewan_76,amelia_consonants_27,B,stimulus121
amelia_consonants_31,amelia_consonants_55,ewan_101,B,stimulus122
amelia_vowels_22,amelia_vowels_5,ewan_21,A,stimulus123
ewan_101,ewan_80,amelia_consonants_55,A,stimulus124
ewan_80,ewan_62,amelia_consonants_31,A,stimulus125
amelia_consonants_14,amelia_consonants_31,ewan_80,B,stimulus126
amelia_consonants_27,amelia_consonants_9,ewan_59,B,stimulus127
ewan_59,ewan_76,amelia_consonants_9,A,stimulus128
ewan_71,ewan_56,amelia_consonants_23,A,stimulus129
ewan_50,ewan_68,amelia_consonants_20,B,stimulus130
amelia_consonants_23,amelia_consonants_7,ewan_56,B,stimulus131
amelia_consonants_3,amelia_consonants_20,ewan_50,A,stimulus132
amelia_consonants_23,amelia_consonants_46,ewan_71,A,stimulus133
ewan_8,ewan_37,amelia_vowels_5,A,stimulus134
ewan_96,ewan_71,amelia_consonants_23,B,stimulus135
amelia_consonants_20,amelia_consonants_42,ewan_92,B,stimulus136
ewan_92,ewan_68,amelia_consonants_42,A,stimulus137
amelia_consonants_23,amelia_consonants_38,ewan_71,A,stimulus138
ewan_87,ewan_71,amelia_consonants_23,B,stimulus139
amelia_consonants_20,amelia_consonants_34,ewan_83,B,stimulus140
ewan_83,ewan_68,amelia_consonants_34,A,stimulus141
amelia_consonants_20,amelia_consonants_49,ewan_68,A,stimulus142
ewan_97,ewan_68,amelia_consonants_20,B,stimulus143
ewan_71,ewan_101,amelia_consonants_55,B,stimulus144
